iter	Logloss
0	0.6821563591
1	0.6726693564
2	0.6645274673
3	0.6562083535
4	0.647639095
5	0.6400173585
6	0.6319311148
7	0.6239140439
8	0.6160816806
9	0.6085780641
10	0.6023016878
11	0.5975044072
12	0.590843333
13	0.5863856935
14	0.581588226
15	0.5769302715
16	0.5716920441
17	0.5657039712
18	0.560824368
19	0.5559193631
20	0.5509890096
21	0.5460723139
22	0.5410296328
23	0.5365416634
24	0.5329181449
25	0.5288437623
26	0.5241809274
27	0.5204382674
28	0.5170526638
29	0.5131554801
30	0.5102391256
31	0.5061544295
32	0.5025617977
33	0.4995185507
34	0.4959480634
35	0.4926538485
36	0.4892951284
37	0.4857351352
38	0.4834651193
39	0.4805717457
40	0.477972159
41	0.4757491928
42	0.4733487444
43	0.4712902189
44	0.4686979641
45	0.4662379955
46	0.4643422506
47	0.4619791955
48	0.4599036098
49	0.4570265359
50	0.4545263974
51	0.4519273237
52	0.449096696
53	0.4467205252
54	0.444646218
55	0.4421832254
56	0.4403218691
57	0.4382711747
58	0.4370250716
59	0.4353361508
60	0.4333309546
61	0.4317389138
62	0.4300277038
63	0.4283446318
64	0.4261222519
65	0.4243873337
66	0.4224599965
67	0.421047558
68	0.4196419512
69	0.4177841048
70	0.4162481233
71	0.4148313583
72	0.4131665867
73	0.4111376031
74	0.4098618258
75	0.4081193995
76	0.4066377469
77	0.4054236276
78	0.4037117917
79	0.4022906457
80	0.4007253553
81	0.3993296923
82	0.3971859736
83	0.3958039787
84	0.3939490467
85	0.3927699281
86	0.3913921773
87	0.3902909447
88	0.3887781844
89	0.3875229972
90	0.3864816448
91	0.3848913908
92	0.3837804749
93	0.3829115694
94	0.3816331182
95	0.3807978549
96	0.3798476029
97	0.3789615629
98	0.3778980789
99	0.3769669576
100	0.376314605
101	0.3752693767
102	0.3741412312
103	0.3730517745
104	0.3718539132
105	0.3705690471
106	0.3696576419
107	0.3683093675
108	0.3674543007
109	0.3665592609
110	0.3656973013
111	0.3644950343
112	0.3632649842
113	0.3625232094
114	0.3619216205
115	0.3609661794
116	0.3598837571
117	0.359135187
118	0.3579365377
119	0.3568332731
120	0.355962922
121	0.3551657398
122	0.3544689962
123	0.3537008771
124	0.3530613209
125	0.3524177479
126	0.3515112611
127	0.350651685
128	0.3500293877
129	0.3490946952
130	0.3483948996
131	0.3477023311
132	0.346569769
133	0.3457264271
134	0.3448370237
135	0.344016299
136	0.3432323899
137	0.3422515712
138	0.3415551853
139	0.3406290468
140	0.33936459
141	0.3383256505
142	0.3373935386
143	0.3368238941
144	0.336032056
145	0.3350457885
146	0.3343211457
147	0.3333273008
148	0.3324621616
149	0.3315587597
150	0.3310971687
151	0.3303146827
152	0.3298599361
153	0.3293075165
154	0.3285473606
155	0.3280351233
156	0.3274576201
157	0.3267555968
158	0.325819355
159	0.325240331
160	0.3246830907
161	0.3238304107
162	0.3232546934
163	0.3228508824
164	0.3221686746
165	0.32141445
166	0.3208400144
167	0.3201301169
